name,phone,address,website,rating,reviews,place_id,source
"Christian Heating, Cooling, Plumbing, & Electrical",(215) 934-6700,"54 E Oakland Ave Suite 1A, Doylestown, PA 18901, USA",https://www.christianhvac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*418*christian-doylestown,4.9,550,ChIJuchu-HKpxokRCREmBsb4njQ,TextSearch(New)+Details(New)
"Christian Heating, Cooling, Plumbing and Electrical",(215) 664-5796,"1320 Industrial Blvd, Southampton, PA 18966, USA",https://www.christianhvac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*066*christian-heating-air-southampton,4.8,3540,ChIJRSQadJatxokR5cw8-JYYG-M,TextSearch(New)+Details(New)
Doylestown Air,(215) 348-0844,"6907A Easton Rd, Pipersville, PA 18947, USA",http://www.doylestownair.com/,5,128,ChIJQcWo6meoxokRj6CU9oEUJOs,TextSearch(New)+Details(New)
Family Heating & Air Conditioning,(215) 647-0688,"196 W Ashland St, Doylestown, PA 18901, USA",http://familyhvac.com/,5,147,ChIJDwx1ujipxokR9pEtD0bZB2Q,TextSearch(New)+Details(New)
Lions Heating And Air Conditioning LLC,(267) 680-8750,"2049 Stout Dr STE B1, Warminster, PA 18974, USA",http://www.getlions.com/,5,700,ChIJO_rdZSCvxokRU8Vzwsn8QG8,TextSearch(New)+Details(New)
All Things HVAC,(267) 356-4822,"4343 Southview Ln, Doylestown, PA 18902, USA",https://allthingshvac.online/?utm_source=google&utm_medium=organic&utm_campaign=seolocale,5,88,ChIJKZ3nkpQDxIkRODalohshm44,TextSearch(New)+Details(New)
Service First Heating & Air Conditioning,(215) 791-8726,"201 S Lincoln Ave, Newtown, PA 18940, USA",https://www.servicefirsthvac.com/?utm_campaign=gmb,5,1100,ChIJB8Gnmo1UwYkRQRi2Iv0Z33I,TextSearch(New)+Details(New)
Carney All Seasons,(215) 302-9444,"900 Old Bethlehem Pike, Line Lexington, PA 18932, USA",https://www.carneyallseasons.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp-line-lexington-pa,4.9,2446,ChIJUxXaOjuhxokRqWv98jJ5KpI,TextSearch(New)+Details(New)
Goldstar Heating & Cooling,(267) 255-2553,"758 Second Street Pike, Southampton, PA 18966, USA",https://goldstarphilla.com/,5,212,ChIJi-HLRmitxokRo6PlGgHnIFA,TextSearch(New)+Details(New)
Ray's Heating and Air,(267) 214-3094,"1790 Langhorne Yardley Rd Suite 204, Yardley, PA 19067, USA",https://rayscomfort.com/?utm_campaign=gmb,5,63,ChIJR9lUcIJVwYkRaKnnC-tGZL8,TextSearch(New)+Details(New)
CDO Heating and Air Inc.,(267) 297-4042,"1317 Second Street Pike, Richboro, PA 18954, USA",https://cdohvac.com/?utm_campaign=gmb,5,92,ChIJTx80zL1KyyURoiA911ha2XU,TextSearch(New)+Details(New)
Retro HVAC Service & Installation LLC,(267) 234-1350,"671a Mary St, Warminster, PA 18974, USA",https://retrohvacllc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile,4.9,185,ChIJs8WST5x45mIRXwXhoz8b9P4,TextSearch(New)+Details(New)
Carney All Seasons,(215) 478-8255,"1100 Industrial Blvd, Southampton, PA 18966, USA",https://www.carneyallseasons.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp-southampton-pa,4.9,2354,ChIJs_cwLK6uxokR_G7T-wQ_EpA,TextSearch(New)+Details(New)
"Dowd Mechanical, Heating & Air Conditioning Inc",(215) 929-8332,"1327 Adams Rd STE F, Bensalem, PA 19020, USA",http://dowdhvac.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Bensalem-PA,4.9,679,ChIJ6X6WmIdSwYkRXuc-VkYXwsk,TextSearch(New)+Details(New)
Dilling Heating & Cooling,(267) 227-1109,"3494 Progress Dr B, Bensalem, PA 19020, USA",https://dillinghvac.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,4.9,508,ChIJoaup3BdNwYkR9bk7g2wPunk,TextSearch(New)+Details(New)
Jackson Mechanical LLC HVAC,(215) 688-1093,"3442 Binny Rd, Doylestown, PA 18902, USA",https://jacksonmechanicalllc.com/,5,127,ChIJReF2bW_NxokRt9TJ8jxtFwM,TextSearch(New)+Details(New)
