name,phone,address,website,rating,reviews,place_id,source
Lawless Painting,(267) 271-5865,"2018 Christian St, Philadelphia, PA 19146, USA",http://www.lawlesspainting.com/,4.7,16,ChIJn1jg5j_GxokRXX_raeTuc4g,TextSearch(New)+Details(New)
PAINT Philadelphia,(267) 776-2185,"1516 N 5th St #316, Philadelphia, PA 19122, USA",https://paintphilly.com/?utm_campaign=gmb,4.9,264,ChIJs3W0Rou3xokRU31ZDjKoyh4,TextSearch(New)+Details(New)
Groovy Hues Painting of Philadelphia,(267) 214-9023,"2424 E York St, Philadelphia, PA 19125, USA",https://www.groovyhues.com/philadelphia-pa?utm_campaign=gmb,5,844,ChIJXbdnfE2xxokRl5eSvpQtvtM,TextSearch(New)+Details(New)
Painting Ahead LLC,(267) 254-7895,"1500 Chestnut St Suite 2, Philadelphia, PA 19102, USA",,5,63,ChIJT8_4u-HGICsRY6hSxzOD-N4,TextSearch(New)+Details(New)
"Hopkins Painting and Restoration, LLC",(877) 215-7767,"2716 W Cabot St, Philadelphia, PA 19121, USA",https://www.hopkinsrestorations.com/,4.8,54,ChIJbzhGeFwDYgER7FDryANWqQE,TextSearch(New)+Details(New)
John Neill Painting and Decorating,(610) 624-2764,"231 Linwood Ave, Ardmore, PA 19003, USA",https://www.johnneillpainting.com/?utm_source=google-business-profile&utm_medium=organic,4.9,152,ChIJYTq27mHAxokRRCF0T0pXlQE,TextSearch(New)+Details(New)
Huber Painting,(267) 600-5854,"1524 S 28th St, Philadelphia, PA 19146, USA",http://martyhuberpainting.com/,4.9,30,ChIJwW7Bzf_HxokRq69sAom17K8,TextSearch(New)+Details(New)
My Cabinet Painters.,(856) 266-9493,"7300 N Crescent Blvd, Pennsauken, NJ 08110, USA",https://mycabinetpainters.com/,4.8,73,ChIJyQH1En3LxokRkxgyyKiqv9A,TextSearch(New)+Details(New)
That 1 Painter Philadelphia,(484) 418-4120,"4138 Market St, Philadelphia, PA 19104, USA",https://that1painter.com/philadelphia/,5,18,ChIJmwEJm2LfYwkR7vzua2qD5_I,TextSearch(New)+Details(New)
Color House Painters,(215) 715-4647,"1500 John F Kennedy Blvd # 1520, Philadelphia, PA 19102, USA",https://chpainters.com/,5,56,ChIJ5T5i1B6zxokRaK-p00781fU,TextSearch(New)+Details(New)
DSJ Painting and Cabinet Refinishing,(610) 477-2988,"309 E Marshall St, West Chester, PA 19380, USA",http://www.dsjpainting.com/,4.9,54,ChIJVZQMF5HxxokRPFtXu2aMntg,TextSearch(New)+Details(New)
CRA PAINTING,(267) 225-7905,"3428 Grant Ave, Philadelphia, PA 19114, USA",http://www.crapainting.com/,5,142,ChIJ06WMB6-zxokRnycc-XUeKKs,TextSearch(New)+Details(New)
Building Boys To Men Inc. DBA UMAR Painting Co.,(215) 807-9298,"935 Wynnewood Rd, Philadelphia, PA 19151, USA",http://affordablephillypainters.com/,4.9,124,ChIJrarbvDm4xokR5POoUT4xnLg,TextSearch(New)+Details(New)
