name,phone,address,website,rating,reviews,place_id,source
Local House Painters -Drywall Repairs - Painting Interiors,(484) 612-5522,"353 Brighton Terrace, Holmes, PA 19043, USA",http://pennsylvaniahousepainter.com/,5,26,ChIJ47ZWVlfCxokRSZ5HntmmQL8,TextSearch(New)+Details(New)
Grand Laymen Contractors LLC,(215) 804-9130,"2290 Oregon Ave #1185, Philadelphia, PA 19145, USA",http://www.grandlaymencontractors.com/,5,50,ChIJTdT6a_PFxokRKYA8LFc6KPE,TextSearch(New)+Details(New)
"Hopkins Painting and Restoration, LLC",(877) 215-7767,"2716 W Cabot St, Philadelphia, PA 19121, USA",https://www.hopkinsrestorations.com/,4.8,54,ChIJbzhGeFwDYgER7FDryANWqQE,TextSearch(New)+Details(New)
The Patch Boys of Eastern PA,(215) 607-2052,"1000 Pk Ridge Rd, Horsham, PA 19044, USA",https://thepatchboysofeasternpa.com/?utm_campaign=gbp,4.9,176,ChIJwYaRhRq5xokRaip6l72e-N0,TextSearch(New)+Details(New)
The Rittenhouse Handyman,(267) 421-6796,"2011 Walnut St, Philadelphia, PA 19103, USA",http://www.rittenhousehandyman.com/,4.7,62,ChIJ6VhGYzfGxokRSbpK4ezO72M,TextSearch(New)+Details(New)
Liberties Handyman Services,(215) 454-9136,"1500 Chestnut St Suite 2 #2936, Philadelphia, PA 19102, USA",http://www.philadelphiahandyman.net/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9751367144875922037,5,82,ChIJpQ_OY3k2wyoRlhCMUpeExlI,TextSearch(New)+Details(New)
Delaware Drywallers,(302) 309-7929,"2093 Philadelphia Pike Unit 7715D, Claymont, DE 19703, USA",https://www.delawaredrywallers.com/,4.7,68,ChIJFz_LIK_jxokRTQlF3-FgqIo,TextSearch(New)+Details(New)
Spartan Drywall LLC,(610) 400-3267,"100 W Germantown Pike, Plymouth Meeting, PA 19462, USA",http://www.spartan-drywall.com/,4.5,33,ChIJ7be6u5q9xokRGclUU9Rbrj0,TextSearch(New)+Details(New)
Noam Construction - Philadelphia,(267) 901-4418,"4662 Kingsessing Ave A, Philadelphia, PA 19143, USA",https://noamconstructionphiladelphia.com/,4.9,95,ChIJ28fv0jbHxokRyXfrSJecks0,TextSearch(New)+Details(New)
J&M Labor Construction & Handyman Services,(484) 202-0864,"427 Westbridge Rd, Glenolden, PA 19036, USA",http://www.jandmlabor.com/,4.9,29,ChIJa6fpyk_CxokRPphkjqQZFZw,TextSearch(New)+Details(New)
That 1 Painter Philadelphia,(484) 418-4120,"4138 Market St, Philadelphia, PA 19104, USA",https://that1painter.com/philadelphia/,5,18,ChIJmwEJm2LfYwkR7vzua2qD5_I,TextSearch(New)+Details(New)
