name,phone,address,website,rating,reviews,place_id,source
Philadelphia Epoxy Flooring,(215) 608-0735,"1625 Oregon Ave, Philadelphia, PA 19145, USA",https://epoxyflooringphiladelphia.com/?utm_campaign=gmb,4.4,13,ChIJv0Vs--DFxokRgSWVZBsFfOM,TextSearch(New)+Details(New)
Pro Floors Philly,(215) 309-9105,"100 S Juniper St Floor 3, Philadelphia, PA 19107, USA",https://profloorsphilly.com/,5,7,ChIJy2BGwR3HxokRp9BSJU2KA8w,TextSearch(New)+Details(New)
Bull Custom Coatings,(215) 436-4377,"4011 Lansing St, Philadelphia, PA 19136, USA",https://bullcustomcoatings.com/,4.9,56,ChIJHwYQmnFNwYkRkkGdxUfV9TA,TextSearch(New)+Details(New)
Guardian Epoxy Flooring,(267) 361-1947,"1928 Dudley St, Philadelphia, PA 19145, USA",,5,2,ChIJ0Vg9pWrHxokRGzYdZomMWeI,TextSearch(New)+Details(New)
Epoxy Solutions And More,(610) 818-7014,"Westbrook Dr, Clifton Heights, PA 19018, USA",https://epoxysolutionsandmore.com/?utm_campaign=gmb,5,6,ChIJ50jtZRvDxokRMlH8d0wPHiM,TextSearch(New)+Details(New)
Epoxy Flooring Professional,(267) 494-6357,"10957 Avon Terrace 1st floor, Philadelphia, PA 19116, USA",,5,3,ChIJYwXaPYuqfWUR3vegA5vaso4,TextSearch(New)+Details(New)
Hello Garage of Philadelphia,(484) 276-2687,"798 Dorlan Mill Rd, Downingtown, PA 19335, USA",https://www.hellogarage.com/hello-garage-of-philadelphia/,5,30,ChIJnfVG8QjzxokRSBCnGgs98q0,TextSearch(New)+Details(New)
EPOXY DEPOT Philadelphia,(215) 495-5390,"455 Parkway Dr, Broomall, PA 19008, USA",http://epoxydepotusa.com/,4.9,46,ChIJIV9BdozrxokR3Zmn8Mb9sWY,TextSearch(New)+Details(New)
Garage Floor Coating of The Main Line,(484) 416-0678,"24 N Bryn Mawr Ave, Bryn Mawr, PA 19010, USA",http://mainlinegaragefloorcoating.com/,5,8,ChIJVVUFKYu_xokRvtdm4JFcTmA,TextSearch(New)+Details(New)
Philadelphia Garage,(610) 788-2242,"11 Hagerty Blvd suite 8, West Chester, PA 19382, USA",http://www.philadelphiagarage.com/,5,51,ChIJMV4ZrGbxxokR0lkadasC0A0,TextSearch(New)+Details(New)
