name,phone,address,website,rating,reviews,place_id,source
Hammer & Hew,(917) 250-2222,"1112 N Hancock St, Philadelphia, PA 19123, USA",http://hammerandhew.com/,5,12,ChIJ7zIT-4fJxokReE7P0Mj-844,TextSearch(New)+Details(New)
Jensen Fencing LLC,(610) 881-6010,"300 E Madison Ave, Clifton Heights, PA 19018, USA",http://www.jensenfencing.com/,4.9,51,ChIJCaoSD0BL9KoRX5UrVbj9JV4,TextSearch(New)+Details(New)
Green Family Fence,(610) 306-7570,"536 Devon Rd, Norwood, PA 19074, USA",https://www.greenfamilyfence.com/,5,18,ChIJ6cs7hR3DxokRvwMUY5QGofo,TextSearch(New)+Details(New)
Everlasting Fence Company,(267) 435-3980,"17 Limekiln Pike, Glenside, PA 19038, USA",https://www.everlastingfence.com/,4.7,141,ChIJo5YmlnG6xokRSY29y78P8M8,TextSearch(New)+Details(New)
J & P Fencing,(610) 626-1844,"629 Hook Rd, Folcroft, PA 19032, USA",,3.2,23,ChIJeY9TC9jDxokR2mkbfNauAGM,TextSearch(New)+Details(New)
Groovy Hues Painting of Main Line,(267) 310-1350,"326 W Lancaster Ave, Ardmore, PA 19003, USA",https://www.groovyhues.com/philadelphia-pa/areas-we-serve/main-line/,5,22,ChIJsTwYBFPBxokRygT7Kw_JXgA,TextSearch(New)+Details(New)
Building Boys To Men Inc. DBA UMAR Painting Co.,(215) 807-9298,"935 Wynnewood Rd, Philadelphia, PA 19151, USA",http://affordablephillypainters.com/,4.9,124,ChIJrarbvDm4xokR5POoUT4xnLg,TextSearch(New)+Details(New)
Superior Fence & Rail,(267) 327-4495,"300 Walnut St, Lansdale, PA 19446, USA",https://www.superiorfenceandrail.com/philadelphia/?utm_source=GMB&utm_medium=location&utm_campaign=SFR-philadelphia-GMB&utm_content=main-10-12-2021,4.8,138,ChIJwTV7zEm7xokRHo1Pl5dwaF4,TextSearch(New)+Details(New)
Color Dream Wallpaper Crew,(267) 214-4677,"5248 Township Line Rd, Drexel Hill, PA 19026, USA",https://color-dream-finishing-crew.tech/,5,3,ChIJF0XpiM_BxokR9ZnZOy0beY0,TextSearch(New)+Details(New)
Ace Fencing,(856) 227-9477,"223 Woodland Ave, Blackwood, NJ 08012, USA",http://www.acefencing.net/,4.5,62,ChIJZw6KyPrRxokR9FXqNVjkcJw,TextSearch(New)+Details(New)
