name,phone,address,website,rating,reviews,place_id,source
Groovy Hues Painting of Philadelphia,(267) 214-9023,"2424 E York St, Philadelphia, PA 19125, USA",https://www.groovyhues.com/philadelphia-pa?utm_campaign=gmb,5,844,ChIJXbdnfE2xxokRl5eSvpQtvtM,TextSearch(New)+Details(New)
Hawthorne Painting llc,(215) 592-1043,"1221 Clymer St, Philadelphia, PA 19147, USA",http://hawthornepainting.net/,4.9,120,ChIJNSEiVyLGxokRxlS5F9NhJdI,TextSearch(New)+Details(New)
Building Boys To Men Inc. DBA UMAR Painting Co.,(215) 807-9298,"935 Wynnewood Rd, Philadelphia, PA 19151, USA",http://affordablephillypainters.com/,4.9,124,ChIJrarbvDm4xokR5POoUT4xnLg,TextSearch(New)+Details(New)
PAINT Philadelphia,(267) 776-2185,"1516 N 5th St #316, Philadelphia, PA 19122, USA",https://paintphilly.com/?utm_campaign=gmb,4.9,264,ChIJs3W0Rou3xokRU31ZDjKoyh4,TextSearch(New)+Details(New)
Painting Ahead LLC,(267) 254-7895,"1500 Chestnut St Suite 2, Philadelphia, PA 19102, USA",,5,63,ChIJT8_4u-HGICsRY6hSxzOD-N4,TextSearch(New)+Details(New)
Enhanced Property Appearance Painting & Renovation,(267) 433-3160,"3362 Edgemont St, Philadelphia, PA 19134, USA",https://www.epapainting.com/,5,160,ChIJ0VXhTlbSmwwR232-W3mxyFQ,TextSearch(New)+Details(New)
John Neill Painting and Decorating,(610) 624-2764,"231 Linwood Ave, Ardmore, PA 19003, USA",https://www.johnneillpainting.com/?utm_source=google-business-profile&utm_medium=organic,4.9,152,ChIJYTq27mHAxokRRCF0T0pXlQE,TextSearch(New)+Details(New)
Nolan Painting,(610) 897-0456,"181 W Hillcrest Ave, Havertown, PA 19083, USA",https://www.nolanpainting.com/locations/delaware-county/?adsource=delawaregmb,4.9,850,ChIJGwsF6UnAxokRBRGiIQNGngg,TextSearch(New)+Details(New)
"Hopkins Painting and Restoration, LLC",(877) 215-7767,"2716 W Cabot St, Philadelphia, PA 19121, USA",https://www.hopkinsrestorations.com/,4.8,54,ChIJbzhGeFwDYgER7FDryANWqQE,TextSearch(New)+Details(New)
Huber Painting,(267) 600-5854,"1524 S 28th St, Philadelphia, PA 19146, USA",http://martyhuberpainting.com/,4.9,30,ChIJwW7Bzf_HxokRq69sAom17K8,TextSearch(New)+Details(New)
Old World Painting,(267) 535-0605,"99a Sharon Ave, Collingdale, PA 19023, USA",http://oldworldpainting.com/,4.8,44,ChIJU6P0iJHJxokRSEvLWPbR8qg,TextSearch(New)+Details(New)
Mayas Painting,(267) 815-3998,"5924 Greenway Ave, Philadelphia, PA 19143, USA",https://www.mayaspainting.com/?utm_source=googlemap&utm_medium=organic&utm_campaign=googlebusinessprofile,4.3,43,ChIJNY1M6Q7ExokRr4fRkWuCPTw,TextSearch(New)+Details(New)
Color House Painters,(215) 715-4647,"1500 John F Kennedy Blvd # 1520, Philadelphia, PA 19102, USA",https://chpainters.com/,5,56,ChIJ5T5i1B6zxokRaK-p00781fU,TextSearch(New)+Details(New)
Vincent's Painting and Paperhanging LLC,(267) 973-7362,"1100 Bryan St, Drexel Hill, PA 19026, USA",,5,138,ChIJq6o75aPBxokRpEpqXN-dRdk,TextSearch(New)+Details(New)
CertaPro Commercial Painters,(484) 424-4336,"1515 Market St #1200, Philadelphia, PA 19102, USA",http://certa-pro-bryn-mawr.zoponline.com/bryn-mawr/certa-pro-painters/,5,27,ChIJp82jP7HHxokR8XoOm5E0zh4,TextSearch(New)+Details(New)
CRA PAINTING,(267) 225-7905,"3428 Grant Ave, Philadelphia, PA 19114, USA",http://www.crapainting.com/,5,142,ChIJ06WMB6-zxokRnycc-XUeKKs,TextSearch(New)+Details(New)
Sepric Painting & Remodeling,(267) 471-3438,"9225 Treaty Rd, Philadelphia, PA 19114, USA",https://sepricpainting.com/,5,87,ChIJpTAx5S-e1IcR2z58SBUth-Y,TextSearch(New)+Details(New)
Pezzotti Painting,(215) 839-4937,"1910 S 15th St, Philadelphia, PA 19145, USA",http://www.pezzottipainting.com/,5,27,ChIJJfTfvCDHxokRm82hFeH77i0,TextSearch(New)+Details(New)
Kenny's Painting LLC,(267) 977-2846,"225 Geiger Rd, Philadelphia, PA 19115, USA",https://krathpaint.com/,5,161,ChIJ9Xpv2OKzxokRn_LGjMUknLY,TextSearch(New)+Details(New)
Sabatini Pro Painting,(610) 810-5040,"102 Ohio Ave, Folsom, PA 19033, USA",https://sabatinipropainting.com/,4.9,158,ChIJYRu9yNjnxokRCD2w7feqMBE,TextSearch(New)+Details(New)
Rafferty Painting and General Contracting,(610) 626-9141,"305 1/2 Windermere Ave, Lansdowne, PA 19050, USA",http://raffertypainting.com/,4.9,41,ChIJC2fCYWHBxokRAjhjHgZy0N4,TextSearch(New)+Details(New)
Quality Brush Painting LLC,(267) 939-6993,"2700 E Thompson St, Philadelphia, PA 19134, USA",,4.9,43,ChIJkcjmr0HJxokRCKMF6pDcNQs,TextSearch(New)+Details(New)
That 1 Painter Philadelphia,(484) 418-4120,"4138 Market St, Philadelphia, PA 19104, USA",https://that1painter.com/philadelphia/,5,18,ChIJmwEJm2LfYwkR7vzua2qD5_I,TextSearch(New)+Details(New)
Angelo's painting,(610) 220-1695,"4105 Berry Ave, Drexel Hill, PA 19026, USA",http://www.angelospaintingpa.com/,4.9,54,ChIJYTI9aPXBxokRQ2I377oodoM,TextSearch(New)+Details(New)
E&M Pro Painting,(267) 368-1733,"Philadelphia Ave, Philadelphia, PA 19102, USA",http://empropaintinginc.com/,5,43,ChIJR0Fj5trHxokR6fDzQQ13YGY,TextSearch(New)+Details(New)
Grand Laymen Contractors LLC,(215) 804-9130,"2290 Oregon Ave #1185, Philadelphia, PA 19145, USA",http://www.grandlaymencontractors.com/,5,50,ChIJTdT6a_PFxokRKYA8LFc6KPE,TextSearch(New)+Details(New)
BD Painting & Remodeling,,"8951 Turton Dr, Philadelphia, PA 19115, USA",http://bdpaintingandremodeling.com/,5,94,ChIJ__97XN2zxokRf9u8LF7xo4E,TextSearch(New)+Details(New)
Main Line Pro Painting LLC,(215) 806-4325,"816 11th Ave Bldg. 2, Prospect Park, PA 19076, USA",http://www.mainlinepropainting.com/,5,66,ChIJQbFvesKTxokRIBrx1demWOs,TextSearch(New)+Details(New)
Local House Painters -Drywall Repairs - Painting Interiors,(484) 612-5522,"353 Brighton Terrace, Holmes, PA 19043, USA",http://pennsylvaniahousepainter.com/,5,26,ChIJ47ZWVlfCxokRSZ5HntmmQL8,TextSearch(New)+Details(New)
Freshlook Painting llc,(610) 544-4111,"1260 Woodland Ave, Springfield, PA 19064, USA",https://freshlookpaintingllc.com/,5,125,ChIJnbyfqOTpxokR4ixu5vlrbkU,TextSearch(New)+Details(New)
Richard Paul Painting and Remodeling,(267) 401-0962,"6807 Marsden St, Philadelphia, PA 19135, USA",http://www.richardpaulremodeling.com/,5,48,ChIJMVQJqu8BX0gREPzOtmu-rq0,TextSearch(New)+Details(New)
Philadelphia House Painting & Historical Restoration,(610) 715-3002,"79 Merbrook Ln, Merion Station, PA 19066, USA",http://www.philadelphiahousepainting.com/,4.8,14,ChIJw_GEO5nIxokRojWZ4hHdz5k,TextSearch(New)+Details(New)
McEvoy Painting LLC,(215) 713-6226,"1301 Steel Rd, Havertown, PA 19083, USA",http://www.mcevoypainting.com/,4.9,67,ChIJRfcNJMLBxokR3zFurcVD1sU,TextSearch(New)+Details(New)
Heiler Painting,(610) 686-9356,"650 Painter St Suite 1, Media, PA 19063, USA",https://www.heilerpainting.com/?utm_source=google&utm_medium=my_business&utm_campaign=media,4.9,241,ChIJ8e6p9L7CxokRu8Q-I2aqJ7E,TextSearch(New)+Details(New)
Dan Collins Painting,(215) 565-3137,"129 Montgomery Ave, Oreland, PA 19075, USA",https://www.dancollinspainting.com/,4.9,173,ChIJDbvJl927xokRq99nCvUnMrM,TextSearch(New)+Details(New)
Azteca's Painting & General Contractor,(215) 303-0122,"106 Green Valley Rd upper, Upper Darby Township, PA 19082, USA",https://aztecaspainting202.wixsite.com/my-site-1,5,11,ChIJGaWDcW_FxokRZdOW___KcLY,TextSearch(New)+Details(New)
Palmer Paint Company,(484) 620-5516,"412 MacDade Boulevard, Folsom, PA 19033, USA",https://www.palmerpaintcompany.com/,5,77,ChIJv_cJLJ_CxokRTAOkCuITLA4,TextSearch(New)+Details(New)
3D Painting ( ThreeD painting LLC ),(215) 982-8232,"9351 Andover Rd, Philadelphia, PA 19114, USA",,4.9,35,ChIJy7YjpLOzxokR5mUJ-IvTTw4,TextSearch(New)+Details(New)
MPS Painting,,"943 Georgetown Rd, Swarthmore, PA 19081, USA",http://mpspainter.com/,4.9,49,ChIJ9e6NfhnBxokR4TdveeBGkDA,TextSearch(New)+Details(New)
Fox Painting Company,(215) 622-7400,"1301 Fairview Ave, Havertown, PA 19083, USA",https://www.foxpaintingcompany.com/?utm_source=GMB&utm_medium=organic&utm_campaign=1SEO_SM,5,20,ChIJ5ctsuTyVxokRzB_M18A4Rl8,TextSearch(New)+Details(New)
Lawless Painting,(267) 271-5865,"2018 Christian St, Philadelphia, PA 19146, USA",http://www.lawlesspainting.com/,4.7,16,ChIJn1jg5j_GxokRXX_raeTuc4g,TextSearch(New)+Details(New)
Next Level Painting 215,(267) 971-3958,"2856 N 8th St, Philadelphia, PA 19133, USA",,4.8,20,ChIJ8ffDI1C1xokRYEd3RjJ1HTA,TextSearch(New)+Details(New)
Anthony's Painting & Paperhanging,(215) 688-0767,"1733 Johnston St, Philadelphia, PA 19145, USA",,4.7,23,ChIJ5xOmqODFxokR46hbQMKnmNU,TextSearch(New)+Details(New)
Painters in Philly,(267) 333-2939,"6735 Castor Ave, Philadelphia, PA 19149, USA",https://paintersinphilly.com/,5,6,ChIJ8fNdehi3xokRSzI9hnih-NM,TextSearch(New)+Details(New)
"CertaPro Painters of the Main Line, PA",(610) 525-8484,"2 Bala Plaza STE 300, Bala Cynwyd, PA 19004, USA",https://certapro.com/bryn-mawr/house-painters-bala-cynwyd-pa/,4.9,43,ChIJ3Z_H9J24xokRzq0kKmJ1wYk,TextSearch(New)+Details(New)
Patch and Paint Pros,(484) 483-3468,"263 E Elm St, Conshohocken, PA 19428, USA",https://patchandpaintpros.com/,4.9,319,ChIJx5jwal6-xokRC95p4CXk-_Y,TextSearch(New)+Details(New)
Painting By Eno,(215) 294-0767,"527 Lawler St A, Philadelphia, PA 19116, USA",http://www.paintingbyeno.com/,5,77,ChIJVYDuApKzxokRO9g-gXcmbAU,TextSearch(New)+Details(New)
J carey painting,(610) 864-2891,"8 3rd Ave, Lester, PA 19029, USA",http://www.jcareypaint.com/,4.9,61,ChIJcYdsroPDxokRLFzidBPEb6g,TextSearch(New)+Details(New)
CertaPro Painters of Blue Bell/Phila,(215) 657-5383,"2424 E York St Unit 314, Philadelphia, PA 19125, USA",https://certapro.com/blue-bell/,5,8,ChIJQ0eei7rJxokRrN8S76ETj3A,TextSearch(New)+Details(New)
Perfect Custom Touch Painting,(484) 716-4125,"447 Andrew Rd, Springfield, PA 19064, USA",http://www.perfectcustompainting.com/,5,17,ChIJ5xPn0CLBxokRfviGwFM7MhU,TextSearch(New)+Details(New)
Father and Son Painting LLC,(610) 586-1768,"89 Scott Ln, Aston Township, PA 19014, USA",http://www.fathersonpainting.com/,4.8,50,ChIJUwE7X_DlxokRHMuDsYzaBdU,TextSearch(New)+Details(New)
Precision Works Painting,(267) 622-0017,"255 Ridgeway St, Philadelphia, PA 19116, USA",https://www.precisionworkspaintings.com/,5,63,ChIJ3aat3mkbBwsRtaflozFE1OA,TextSearch(New)+Details(New)
Elite Painting Pros,(215) 267-5056,"217 W Girard Ave Ground Floor, Philadelphia, PA 19123, USA",https://elitepaintingpros.net/,5,12,ChIJE0Uo4TLJxokRlRx59MK3nnI,TextSearch(New)+Details(New)
Michael's Painting,(215) 837-1234,"135 Dimarco Dr, Philadelphia, PA 19154, USA",http://www.michaelshousepainting.com/,5,42,ChIJgWWRiNSyxokRvXlwLuYRMuE,TextSearch(New)+Details(New)
