name,phone,address,website,rating,reviews,place_id,source
Local House Painters -Drywall Repairs - Painting Interiors,(484) 612-5522,"353 Brighton Terrace, Holmes, PA 19043, USA",http://pennsylvaniahousepainter.com/,5,26,ChIJ47ZWVlfCxokRSZ5HntmmQL8,TextSearch(New)+Details(New)
"Hopkins Painting and Restoration, LLC",(877) 215-7767,"2716 W Cabot St, Philadelphia, PA 19121, USA",https://www.hopkinsrestorations.com/,4.8,54,ChIJbzhGeFwDYgER7FDryANWqQE,TextSearch(New)+Details(New)
The Patch Boys of Eastern PA,(215) 607-2052,"1000 Pk Ridge Rd, Horsham, PA 19044, USA",https://thepatchboysofeasternpa.com/?utm_campaign=gbp,4.9,176,ChIJwYaRhRq5xokRaip6l72e-N0,TextSearch(New)+Details(New)
Best Interiors Philly,(315) 246-0084,"1728 Catharine St, Philadelphia, PA 19146, USA",https://www.instagram.com/bestinteriorsphilly,5,7,ChIJfeinCgC3xokR16eD2ntsiWc,TextSearch(New)+Details(New)
DeMarco General Plastering,(215) 468-0595,"809 W Porter St, Philadelphia, PA 19148, USA",http://demarcoplastering.com/,3.6,10,ChIJw8B1-v3FxokRaLa667ukXRw,TextSearch(New)+Details(New)
MR DRYWALL LLC,(215) 303-9155,"1314 Disston St, Philadelphia, PA 19111, USA",http://mrdrywalll.com/?utm_source=gmb&utm_medium=referral,4.3,6,ChIJXcn99AG3xokR3-tmEX-UR6A,TextSearch(New)+Details(New)
Patch and Paint Pros,(484) 483-3468,"263 E Elm St, Conshohocken, PA 19428, USA",https://patchandpaintpros.com/,4.9,319,ChIJx5jwal6-xokRC95p4CXk-_Y,TextSearch(New)+Details(New)
The Home Hero,(267) 291-4376,"529 McKean St, Philadelphia, PA 19148, USA",https://thehomehero.com/,4.6,84,ChIJe_ISSp_IxokRG1TNT6uec-4,TextSearch(New)+Details(New)
The Rittenhouse Handyman,(267) 421-6796,"2011 Walnut St, Philadelphia, PA 19103, USA",http://www.rittenhousehandyman.com/,4.7,62,ChIJ6VhGYzfGxokRSbpK4ezO72M,TextSearch(New)+Details(New)
TL Drywall Inc,(267) 314-9493,"18 Potts Ave, Norristown, PA 19403, USA",,5,20,ChIJB3JWZBuXxokRBX0GftCwyfs,TextSearch(New)+Details(New)
