name,phone,address,website,rating,reviews,place_id,source
Anvil Remediation & Restoration,(855) 462-6845,"417 N 8th St, Philadelphia, PA 19123, USA",https://anvilanswers.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,182,ChIJXxEoYD-xxokRGegt_FcBrlc,TextSearch(New)+Details(New)
Philly Stucco Remediation,(267) 854-4123,"4434 Salmon St, Philadelphia, PA 19137, USA",,4.6,11,ChIJmVRsb-jk-6YRmnKmBrlCYTM,TextSearch(New)+Details(New)
Stucco Repair Philadelphia,(215) 515-7702,"8342 State Rd., Philadelphia, PA 19136, USA",https://www.stuccorepairphilly.com/,,,ChIJydTy-3K1xokRXLuFABTrsNs,TextSearch(New)+Details(New)
Stucco Today,(215) 300-3388,"506 S Bethlehem Pike, Fort Washington, PA 19034, USA",https://stuccotoday.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,52,ChIJIemBEgm7xokRf_M4bZqwKTk,TextSearch(New)+Details(New)
ProStone Construction LLC,(267) 530-4031,"108 Hilltop Ct, Mullica Hill, NJ 08062, USA",http://www.prostoneconstruction.com/,5,75,ChIJlbUlulLGxokRyTN0Dk3AqKc,TextSearch(New)+Details(New)
Stucco Inspection by Stucco Safe,(610) 601-5856,"1055 Westlakes Dr Fl 3, Berwyn, PA 19312, USA",https://stuccosafe.com/,5,157,ChIJm9aSMBeTxokRGD7it6b2Lag,TextSearch(New)+Details(New)
C&C Stucco & Siding,,"140 Greenwood Ave, Ambler, PA 19002, USA",https://ccplastering.com/,4.8,71,ChIJ6XVz7hW4xokR-flrqWl3Ln8,TextSearch(New)+Details(New)
Local House Painters -Drywall Repairs - Painting Interiors,(484) 612-5522,"353 Brighton Terrace, Holmes, PA 19043, USA",http://pennsylvaniahousepainter.com/,5,26,ChIJ47ZWVlfCxokRSZ5HntmmQL8,TextSearch(New)+Details(New)
Gormley Construction Inc.,(215) 486-1353,"643 Painter St, Media, PA 19063, USA",http://www.gormleyconstructioninc.com/,5,85,ChIJPZW3UgXBxokRwn5p1rLFDcE,TextSearch(New)+Details(New)
Advanced Construction Contractors,(610) 584-1848,"2 Liberty Ave, Eagleville, PA 19403, USA",http://advancedplasteringinc.net/,4.7,23,ChIJmzgAh5KXxokRUzTaXsT6JI4,TextSearch(New)+Details(New)
Stucco Testing Specialists - Stucco Inspections,(610) 994-0287,"1150 1st Ave #525, King of Prussia, PA 19406, USA",http://www.stuccotestingspecialists.com/,4.9,68,ChIJoR2xGRSUxokR4Sb6fcTX-iI,TextSearch(New)+Details(New)
P&P STUCCO and MASONRY LLc,(301) 640-9598,"8300 West Chester Pike, Upper Darby Township, PA 19082, USA",,,,ChIJmQ6rm6gTVAQR5aEe-bn_P_0,TextSearch(New)+Details(New)
"Campos Masonry,Stucco,Siding & concrete",(610) 233-2783,"200 E Dekalb Pike, King of Prussia, PA 19406, USA",https://www.montgomerycountystucco.com/,4.8,20,ChIJP9PqWd2VxokROAaubb6RC58,TextSearch(New)+Details(New)
Hart Contractors,(610) 626-3787,"122 N Highland Ave, Lansdowne, PA 19050, USA",http://www.hartcontractor.com/,,,ChIJw5A8V13BxokRjVKSe8V-UeA,TextSearch(New)+Details(New)
DeMarco General Plastering,(215) 468-0595,"809 W Porter St, Philadelphia, PA 19148, USA",http://demarcoplastering.com/,3.6,10,ChIJw8B1-v3FxokRaLa667ukXRw,TextSearch(New)+Details(New)
Craft Pro Masonry Restoration Inc.,(215) 233-3100,"59 N 3rd St Apt 3D, Philadelphia, PA 19106, USA",https://www.craftpromasonry.com/,4.4,30,ChIJWbrUeYbIxokRsQcqz9P0Eh8,TextSearch(New)+Details(New)
Craft Pro Masonry Restoration Inc,(215) 233-3100,"1322 Washington Ave, Philadelphia, PA 19147, USA",https://craftpromasonry.com/star-bolt-install/,5,8,ChIJmeHKXlbHxokRKmqrClWA-Cs,TextSearch(New)+Details(New)
"Jamison Home Services, LLC",(215) 884-7000,"1429 Ulmer Ave, Oreland, PA 19075, USA",http://www.jamisonhomeservices.com/,4.7,195,ChIJA25EOlq6xokRF8S3w4z1mL8,TextSearch(New)+Details(New)
MCG Construction Inc,(215) 277-3108,"5609-5615 Sprague St, Philadelphia, PA 19138, USA",https://mcgconstructionpa.com/,5,103,ChIJM7iABNyxxokRb_eXemLTYAE,TextSearch(New)+Details(New)
Jara Construction INC,(610) 256-6453,"817 W King Rd, Malvern, PA 19355, USA",http://www.jaraconstructionchestercounty.com/,4.9,237,ChIJOacsD8HyxokRQI119QUIhr8,TextSearch(New)+Details(New)
Stucco Testing Specialists,(610) 994-0287,"2 W Market St Suite 100 A, West Chester, PA 19382, USA",https://stuccotestingspecialists.com/,4.8,18,ChIJ451eU5TrxokRQrS-4k0roBs,TextSearch(New)+Details(New)
Stucco World LLC,(609) 456-3503,"851 Spruce St, Trenton, NJ 08638, USA",https://www.stuccocontractorlawrencevillenj.com/,5,26,ChIJ__9Di0NYwYkR3Vr3tzUWkpg,TextSearch(New)+Details(New)
Provato Concrete Demolition & Masonry,(484) 237-1862,"455 Penn St, Yeadon, PA 19050, USA",http://www.provatocdm.com/,4.8,55,ChIJDZvmCZfBxokRnaRAH6wStSY,TextSearch(New)+Details(New)
"Becker Enterprise Group, LLC",(844) 456-4484,"3653 Salmon St, Philadelphia, PA 19134, USA",https://www.beckerenterprisegroup.com/contact-us/,5,3,ChIJfbkesNjJxokRf6F-5BeeB54,TextSearch(New)+Details(New)
Al Jamal Construction,(267) 815-8645,"2212 N Chadwick St, Philadelphia, PA 19132, USA",http://aljamaldesign.com/,4.8,19,ChIJUTCoAszHxokRJE06TQB4BM4,TextSearch(New)+Details(New)
Edward Griffin Construction - Remediation and Renovation,(610) 353-3909,"2 Drew Cir, Newtown Square, PA 19073, USA",http://edwardgriffinremediation.com/,4.9,12,ChIJv9Agz2zrxokRck1v-PQ0JwM,TextSearch(New)+Details(New)
"O'Brien Building Company, Inc.",(610) 449-4904,"303 Fairlamb Ave, Havertown, PA 19083, USA",http://www.obrienbuildingco.com/,,,ChIJcyoAFwvBxokR_bmk5DTTuKw,TextSearch(New)+Details(New)
