name,phone,address,website,rating,reviews,place_id,source
"Cibik Law, P.C.",(215) 978-9331,"1500 Walnut St # 900, Philadelphia, PA 19102, USA",https://philadelphiabankruptcylawyers.com/?utm_campaign=gmb,4.9,258,ChIJOxKK_y_GxokRioREmLR5vcw,TextSearch(New)+Details(New)
Sadek Bankruptcy Law Offices,(215) 545-0008,"1500 John F Kennedy Blvd # 220, Philadelphia, PA 19102, USA",https://www.sadeklaw.com/locations/center-city-philadelphia-bankruptcy-lawyer/,4.9,529,ChIJR1f3fi_GxokRKlXjKzZRm-I,TextSearch(New)+Details(New)
The Law Offices of David M. Offen,(215) 625-9600,"601 Walnut St #160, Philadelphia, PA 19106, USA",https://www.getfreeofbills.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,5,381,ChIJtTpBt4LIxokR0T5I5-liHEA,TextSearch(New)+Details(New)
"Dunne Law Offices, P.C.",(215) 551-7109,"1515 Market St suite 1200-b, Philadelphia, PA 19102, USA",http://www.thephiladelphiabankruptcyattorney.com/,4.9,105,ChIJXexywG_HxokRHqVKwNZSd44,TextSearch(New)+Details(New)
Law Offices of Michael A. Latzes,(215) 695-4171,"1528 Walnut St # 710, Philadelphia, PA 19102, USA",http://philadelphiabankruptcylawyer.net/,4.7,26,ChIJp_FjCjDGxokRnrq5kXb683I,TextSearch(New)+Details(New)
Sadek Bankruptcy Law Offices,(610) 432-3111,"1489 Baltimore Pike #218, Springfield, PA 19064, USA",https://www.sadeklaw.com/locations/delaware-county-bankruptcy-lawyers/,5,58,ChIJpaddIc_pxokRpNIHNCR4CuQ,TextSearch(New)+Details(New)
Reinherz Law Offices,(215) 922-2055,"1500 Walnut St # 800, Philadelphia, PA 19102, USA",http://reinherzlaw.com/,5,46,ChIJR1f3fi_GxokRkzxTnz3eFuQ,TextSearch(New)+Details(New)
Tadross Law,(267) 643-1415,"128 Chestnut St #204, Philadelphia, PA 19106, USA",https://tadrosslaw.com/,5,124,ChIJD2wHZoXIxokR7PMlK13lLSo,TextSearch(New)+Details(New)
"Starks Law, PC",(855) 960-3933,"1700 Market St #1005, Philadelphia, PA 19103, USA",https://www.starks.law/,5,246,ChIJP94KqjHGxokRd4InLenW1DY,TextSearch(New)+Details(New)
"The DeLiberty Law Firm - The Credit Lawyer Daniel A. DeLiberty, Esq.",(610) 353-0322,"2809 West Chester Pike #100, Broomall, PA 19008, USA",http://www.creditlawyers.com/?utm_source=GBP&utm_medium=Organic&utm_campaign=Google+Business+Profile&utm_id=Google+Business+Profile,5,264,ChIJ4zq6_F7qxokRYgxEkvCvZJ4,TextSearch(New)+Details(New)
