name,phone,address,website,rating,reviews,place_id,source
"Holmes Business Law, P.C.",(215) 482-0285,"1515 Market St #1200, Philadelphia, PA 19102, USA",http://www.phillysmallbusinesslawyer.com/,4.8,68,ChIJ-zL-D5W4xokRowxOJ01XbzA,TextSearch(New)+Details(New)
"Freundlich & Littman, LLC",(215) 201-4099,"1425 Walnut St #200, Philadelphia, PA 19102, USA",http://www.philadelphiaattorneylawyer.com/,4.9,122,ChIJOxKK_y_GxokRvhZBc_n2sAo,TextSearch(New)+Details(New)
"Sidkoff, Pincus & Green P.C.",(215) 574-0600,"1101 Market St #2700, Philadelphia, PA 19107, USA",http://www.greatlawyers.com/,4.8,126,ChIJDSjGFinGxokRru3KY463klo,TextSearch(New)+Details(New)
RS Law Group,(215) 717-2200,"226 Walnut St, Philadelphia, PA 19106, USA",https://rslawgroup.com/,4.8,81,ChIJA-RVtsiyxokRKqlV4NTc4N0,TextSearch(New)+Details(New)
"JM LAW GROUP, LLC",(215) 832-3600,"1515 Market St #1200, Philadelphia, PA 19102, USA",http://www.lawmr.com/,4.9,30,ChIJY6_tJDHGxokRlcV03VIjFqY,TextSearch(New)+Details(New)
"The Kim Law Firm, LLC",(855) 996-6342,"1515 Market St #1200, Philadelphia, PA 19102, USA",http://www.thekimlawfirmllc.com/,4.6,54,ChIJq11FBSrGxokR4pXBR9P4wlE,TextSearch(New)+Details(New)
Giampolo Law Group,(215) 645-2415,"507 S 2nd St, Philadelphia, PA 19147, USA",https://giampololaw.com/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business,4.9,69,ChIJh0fICzDGxokReKGr03b923I,TextSearch(New)+Details(New)
"Danziger Shapiro, P.C.",(215) 545-4830,"1515 Market St #1200, Philadelphia, PA 19102, USA",https://www.ds-l.com/,4.4,24,ChIJc3MtbIXIxokR9ielMGAsV8w,TextSearch(New)+Details(New)
"Steven J. Fromm & Associates, P.C.",(215) 735-2336,"1420 Walnut St # 300, Philadelphia, PA 19102, USA",http://www.sjfpc.com/,5,80,ChIJ2eRWVyXGxokRQAxp1NUZ8WA,TextSearch(New)+Details(New)
Nochumson P.C.,(215) 399-1346,"1 S Broad St Suite 1000, Philadelphia, PA 19107, USA",http://www.nochumson.com/,4.7,74,ChIJy4ewgjrGxokReW9r7JmE6-k,TextSearch(New)+Details(New)
