name,phone,address,website,rating,reviews,place_id,source,website date,instant pay,sex
"SKA Law Group, LLC",(267) 265-4553,"1518 Walnut St # 808, Philadelphia, PA 19102, USA",https://www.legalphilly.com/,5,375,ChIJATCdEC7GxokRgZBiD2rjFiY,TextSearch(New)+Details(New),2016,no,m
Coleman Defense LLC,(215) 564-1634,"1717 Arch St Unit 320, Philadelphia, PA 19103, USA",https://www.philadelphiadefense.com/,4.9,173,ChIJ__9vlC_GxokRKTQ5e4B1L7c,TextSearch(New)+Details(New),N/A seems old,no,m
Fienman Defense LLC,(215) 344-7351,"1608 Walnut St # 900, Philadelphia, PA 19103, USA",https://www.philadelphiacriminalattorney.com/?utm_source=google&utm_medium=maps&utm_campaign=philadelphia&st-t=philadelphia,4.9,115,ChIJ6RMcdjDGxokRNa5-7PRc9_I,TextSearch(New)+Details(New),N/A more up to date ,no,m
"Law Offices of M.J. Snyder, LLC",(215) 515-3360,"1500 Walnut St 7th Floor, Philadelphia, PA 19102, USA",https://www.snyderlawyer.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,4.9,156,ChIJ_0tTuy_GxokRzjvvjVDSFBE,TextSearch(New)+Details(New),2025,no,w
"van der Veen, Hartshorn, Levin & Lindheim",(215) 585-2837,"1219 Spruce St, Philadelphia, PA 19107, USA",https://www.mtvlaw.com/philadelphia-criminal-defense-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gbpphillyCD,4.7,434,ChIJh5IatiXGxokRZWUQsOyr16Q,TextSearch(New)+Details(New),N/A more up to date ,no,m
Wimmer Criminal Defense Law,(215) 712-1212,"123 S Broad St Ste 2037, Philadelphia, PA 19109, USA",https://www.wimmercriminaldefense.com/,5,70,ChIJmUH7rjDGxokR9kS9mnAAKAA,TextSearch(New)+Details(New),2025,no,w
The Town Law LLC,(215) 307-5504,"1650 Market St Ste 3669, Philadelphia, PA 19103, USA",https://www.thetownlaw.com/?utm_source=google-local&utm_medium=organic&utm_campaign=2953,5,396,ChIJ1SW9TaDHxokRmvADMaJ5OSo,TextSearch(New)+Details(New),2025,no,N/A
The Zeiger Firm,(215) 309-9753,"1500 John F Kennedy Blvd #620a, Philadelphia, PA 19102, USA",https://brianzeiger.com/?utm_source=google&utm_medium=local&utm_campaign=philadelphia-gmb&utm_id=GMB,5,58,ChIJN3xTsTHGxokRRhPYKy7zQ3g,TextSearch(New)+Details(New),2025,no,M
Liberty Law Team,(215) 826-3314,"1515 Market St #1200, Philadelphia, PA 19102, USA",https://www.philadelphiacriminallawyers.com/,4.9,321,ChIJeVw8VSXGxokRamVzpThzoLY,TextSearch(New)+Details(New),2025,no,FIRM
Goldstein Mehta LLC,(267) 225-2545,"1717 Arch St Unit 320, Philadelphia, PA 19103, USA",https://goldsteinmehta.com/,4.9,165,ChIJdfu97iXGxokR1Y9___Ci1wk,TextSearch(New)+Details(New),2024,no,m
The Law Office of David M. Walker,(215) 893-0500,"1420 Walnut St #911, Philadelphia, PA 19102, USA",http://www.walkerdefense.com/,4.9,60,ChIJ2eRWVyXGxokRK6O8VJaZO1o,TextSearch(New)+Details(New),2025,no,m
"Kenny, Burns & McGill",(215) 423-5500,"1500 John F Kennedy Blvd # 520, Philadelphia, PA 19102, USA",https://www.kennyburnsmcgill.com/,4.8,256,ChIJz6UEvjHGxokRvPt98ic45yc,TextSearch(New)+Details(New),2025,no,FIRM
"Amato T. Sanita, Esq.",(267) 738-7766,"1518 Walnut St #807, Philadelphia, PA 19102, USA",https://www.pennsylvaniacriminallawyer.com/,4.9,53,ChIJOZBAxDHGxokRbbNYDhw7LfM,TextSearch(New)+Details(New),2019,no,m
"Parkinson, Tarpey Law",(215) 352-3432,"1315 Walnut St #1605, Philadelphia, PA 19107, USA",https://www.phillydefenseattorneys.com/,4.9,35,ChIJAWjsEC7GxokR3S8_94r5uVY,TextSearch(New)+Details(New),2025,no,m
Law Office of Michael F. Niznik,(267) 589-0601,"1500 Walnut St # 900, Philadelphia, PA 19102, USA",http://www.nizniklaw.com/,4.9,96,ChIJ9bG4rTrGxokRsbxeJQgtpeA,TextSearch(New)+Details(New),2025,,
Benari Law Group,(610) 566-1006,"1 Veterans Sq. #200, Media, PA 19063, USA",https://benarilaw.com/?utm_source=google&utm_campaign=GMB&utm_content=Media,4.9,400,ChIJzQhWBqjpxokRhyoTYS6KVjM,TextSearch(New)+Details(New),2025,,
Louis T Savino PC,(215) 568-1300,"1500 John F Kennedy Blvd #1516, Philadelphia, PA 19102, USA",,4.9,190,ChIJATCdEC7GxokR3o1VyBCWdMo,TextSearch(New)+Details(New),,,
Rooney Philly Lawyer,(215) 279-8400,"2401 Pennsylvania Ave #1C41, Philadelphia, PA 19130, USA",https://rooneyphillylawyer.com/,4.9,34,ChIJ654eHbbHxokR6t21weTaH0A,TextSearch(New)+Details(New),2025,,
D'Intino Law Firm LLC,(267) 491-9111,"200 S Broad St Suite 610, Philadelphia, PA 19102, USA",https://dintinolaw.com/,4.9,91,ChIJQ2NsjkPHxokRKL79ObmIb0s,TextSearch(New)+Details(New),,,
The Law Offices of John Della Rocca,(215) 564-5647,"1500 John F Kennedy Blvd # 520, Philadelphia, PA 19102, USA",https://www.theduidefenseguy.com/?utm_source=google-local&utm_medium=organic&utm_campaign=999,4.9,58,ChIJC9PnyzHGxokRDJfXfybt-ko,TextSearch(New)+Details(New),,,
Hark and Hark,(215) 665-0766,"The Times Building, 32 Parking Plza Unit 401, Ardmore, PA 19003, USA",https://www.phila-criminal-lawyer.com/,4.9,157,ChIJKWpTuy_GxokRRnM-BaVKppE,TextSearch(New)+Details(New),,,
"Andrew Gay, Jr. - Criminal Defense | Personal Injury",(215) 545-7110,"1518 Walnut St #807, Philadelphia, PA 19102, USA",https://www.philacriminaldefenselawyer.com/,4.8,141,ChIJCyVIaYrHxokR1YG-3xB_J0w,TextSearch(New)+Details(New),,,
The Fishman Firm,(267) 758-2228,"100 S Broad St #1910, Philadelphia, PA 19110, USA",https://www.thefishmanfirm.com/,4.8,90,ChIJATCdEC7GxokRFSZg7RSte5c,TextSearch(New)+Details(New),,,
The Law Offices of Steven Kellis,(215) 940-1200,"1500 John F Kennedy Blvd Suite 900-A, Philadelphia, PA 19102, USA",https://www.pennsylvania-dui-lawyer.com/,4.6,56,ChIJATCdEC7GxokRdwyv5mMDmrk,TextSearch(New)+Details(New),,,
NiaLena Caravasos Esq,(215) 925-5200,"123 S Broad St #1845, Philadelphia, PA 19109, USA",https://nialena.com/,4.8,28,ChIJ-eu6G4PIxokRj2u1V7OsgOA,TextSearch(New)+Details(New),,,
Fienman Defense LLC,(610) 541-2478,"450 N Narberth Ave # 200, Narberth, PA 19072, USA",https://www.philadelphiacriminalattorney.com/montgomery-county/?utm_source=google&utm_medium=maps&utm_campaign=bluebell&st-t=bluebell,4.9,53,ChIJn9UBh1-8xokRmvFDCKY44xc,TextSearch(New)+Details(New),,,
"Law Offices of Richard J. Fuschino, Jr.",(215) 515-8600,"1600 Locust St, Philadelphia, PA 19103, USA",https://aggressivedefense.com/?utm_source=google&utm_medium=organic&utm_campaign=seolocale,4.4,23,ChIJGQA86zrGxokRjrhhEnoZZ_0,TextSearch(New)+Details(New),,,
"Link Law, LLC (R. Patrick Link)",(267) 858-4774,"100 S Broad St #1910, Philadelphia, PA 19110, USA",https://linklawphilly.com/?link_source=g+,4.6,59,ChIJOc4wjTHGxokRlnArOo7SK-0,TextSearch(New)+Details(New),,,
Gregory J Pagano Law Office,(215) 636-0160,"1315 Walnut St, Philadelphia, PA 19107, USA",http://www.paganolaw.net/,4.8,77,ChIJvav1hS_GxokRyY5moJ3zDnE,TextSearch(New)+Details(New),,,
"Law Offices of Shaka Johnson, LLC",(215) 732-7900,"1333 Christian St, Philadelphia, PA 19147, USA",http://www.shakajohnsonlaw.com/,4.5,227,ChIJdU7M9y_GxokRz50rsYzWA0g,TextSearch(New)+Details(New),,,
Hughes Law LLC,(215) 454-6680,"1315 Walnut St Suite 803, Philadelphia, PA 19107, USA",https://www.philadelphiacriminallawyers.pro/?utm_source=gmb&utm_medium=local&utm_campaign=website,4.6,100,ChIJXwZjrjDGxokRWDcTxgY_h4s,TextSearch(New)+Details(New),,,
"Lawyer Michael Kotik, Esq",(215) 833-0133,"3331 Street Rd Suite 450, Bensalem, PA 19020, USA",https://buckscountycriminallawyers.com/,5,202,ChIJATCdEC7GxokR1uWznQ1ROdE,TextSearch(New)+Details(New),,,
