name,phone,address,website,rating,reviews,place_id,source
The Lacy Employment Law Firm LLC,(215) 399-9761,"3675 Market St #200, Philadelphia, PA 19104, USA",https://employment-labor-law.com/philadelphia-employment-lawyers/?utm_source=gmb&utm_medium=philly&utm_campaign=partopia&utm_id=seo,4.8,54,ChIJP5r8FkfHxokRefUlaypPiIo,TextSearch(New)+Details(New)
"Derek Smith Law Group, PLLC",(215) 391-4790,"1628 Pine St, Philadelphia, PA 19103, USA",https://discriminationandsexualharassmentlawyers.com/,4.6,112,ChIJm0H7rjDGxokRshgylk_kh2g,TextSearch(New)+Details(New)
"Koller Law, LLC",(215) 545-8917,"2043 Locust St #1b, Philadelphia, PA 19103, USA",https://www.kollerlawfirm.com/,4.5,100,ChIJi_HXNjjGxokRqSvSmGPdmQ8,TextSearch(New)+Details(New)
HKM Employment Attorneys LLP,(215) 608-2369,"21 S 11th St Suite 324, Philadelphia, PA 19107, USA",https://hkm.com/philadelphia/?utm_source=gbp&utm_medium=organic&utm_campaign=website&utm_term=philadelphia,4.9,28,ChIJ_dcTPp_HxokRCJRQhACOKZg,TextSearch(New)+Details(New)
"Murphy Law Group, LLC",(267) 273-1054,"Eight Penn Center, 1628 John F Kennedy Blvd Suite 2000, Philadelphia, PA 19103, USA",http://www.phillyemploymentlawyer.com/,4.6,103,ChIJBSiOHDHGxokRroOgER1iuRE,TextSearch(New)+Details(New)
The Gold Law Firm P.C.,(215) 918-7537,"1835 Market St Suite 515, Philadelphia, PA 19103, USA",https://www.discrimlaw.net/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,4.4,151,ChIJZSriODHGxokRS3IOCNqyZPo,TextSearch(New)+Details(New)
The Lovitz Law Firm,(215) 735-1996,"1650 Market St 36th Floor, Philadelphia, PA 19103, USA",http://www.lovitzlaw.com/,4.7,83,ChIJV7-4ADHGxokR3Xd5QkKNS14,TextSearch(New)+Details(New)
Martin Law - Workers Compensation Attorneys,(215) 587-8400,"1818 Market St, Philadelphia, PA 19103, USA",https://www.paworkinjury.com/practice-areas/pennsylvania-workers-compensation/,4.7,264,ChIJY6_tJDHGxokR3BQpwoaOL8E,TextSearch(New)+Details(New)
"Freundlich & Littman, LLC",(215) 201-4099,"1425 Walnut St #200, Philadelphia, PA 19102, USA",http://www.philadelphiaattorneylawyer.com/,4.9,122,ChIJOxKK_y_GxokRvhZBc_n2sAo,TextSearch(New)+Details(New)
Law Offices of Eric A Shore,(215) 627-9999,"1500 John F Kennedy Blvd #1240, Philadelphia, PA 19102, USA",https://www.1800cantwork.com/,4.7,663,ChIJKWpTuy_GxokRUUCEc4reFUc,TextSearch(New)+Details(New)
Console Mattiacci Law,(215) 545-7676,"1525 Locust St, Philadelphia, PA 19102, USA",http://www.consolelaw.com/,4.6,41,ChIJYc2JuDrGxokRWxy6ejO1K4M,TextSearch(New)+Details(New)
Krasno Krasno & Onwudinjo,(267) 318-4235,"1429 Walnut St 16th floor, Philadelphia, PA 19102, USA",https://www.krasnolaw.com/locations/philadelphia-workers-compensation-lawyers?utm_source=gbp&utm_medium=philadelphia,4.7,707,ChIJTw5a9y_GxokRpw4QUf2HLMY,TextSearch(New)+Details(New)
