name,phone,address,website,rating,reviews,place_id,source
Badet Law PLLC,(267) 277-2641,"1515 Market St #1200, Philadelphia, PA 19102, USA",https://divorcelawyerbadet.com/,4.9,253,ChIJ3braR5zHxokRxdRtbSwEBaQ,TextSearch(New)+Details(New)
"Petrelli Previtera, LLC",(215) 399-2355,"1845 Walnut St #1920, Philadelphia, PA 19103, USA",https://www.petrellilaw.com/philadelphia-divorce-lawyer/?utm_source=organic&utm_medium=GMB&utm_campaign=Philadelphia,4.7,279,ChIJnXa9JDHGxokRbQyvpx0ofWI,TextSearch(New)+Details(New)
"Cooper Family Law, LLC",(215) 814-0395,"1500 John F Kennedy Blvd # 220, Philadelphia, PA 19102, USA",https://cooperfamilylawfirm.com/,4.6,140,ChIJP3Quei_GxokRP7pWRaknNNg,TextSearch(New)+Details(New)
"Jensen Bagnato, P.C.",(215) 546-4700,"1500 Walnut St Suite 1510, Philadelphia, PA 19102, USA",http://yourphiladelphialawyers.com/,4.8,292,ChIJh0fICzDGxokRKRsNY9fRH-M,TextSearch(New)+Details(New)
"The Mark Kachhi Law Firm, PLLC",(215) 439-7899,"1727 Snyder Ave Suite #102, Philadelphia, PA 19145, USA",https://www.themarkkachhilawfirm.com/,5,27,ChIJ89ICBkrHxokRbiMQ7LMmb7c,TextSearch(New)+Details(New)
"Lydia Terrill, Family Lawyer",(484) 322-5616,"40 W Evergreen Ave Suite 101, Philadelphia, PA 19118, USA",https://lydiaterrillfamilylawyer.com/,4.8,19,ChIJUyT2TTm5xokR5AniQu1klas,TextSearch(New)+Details(New)
Law Office of Smith & Horwitz,(215) 545-2880,"1420 Locust St #110, Philadelphia, PA 19102, USA",https://www.smithhorwitz.com/,4.7,42,ChIJQyrhSSXGxokRTkri24_zcfQ,TextSearch(New)+Details(New)
"William Kirby Law, Family Law Attorneys",(215) 515-9901,"1700 Market St #1005, Philadelphia, PA 19103, USA",https://www.familylawattorneyphiladelphia.com/,4.5,68,ChIJe2ZBZ7DHxokRmfMx8IZjwkI,TextSearch(New)+Details(New)
"The Law Office of Lisa Harding, LLC",(267) 301-2796,"1500 Walnut St # 900, Philadelphia, PA 19102, USA",,4.6,37,ChIJp36vyfjHxokRR3w6JM8ysQw,TextSearch(New)+Details(New)
Feldman Gary M,(215) 735-9944,"1819 John F Kennedy Blvd # 400, Philadelphia, PA 19103, USA",http://lawyer4pa.com/,5,36,ChIJBTl2QjHGxokR-3KqOYOQ3NU,TextSearch(New)+Details(New)
Shanesy Law,(215) 701-7240,"1635 Market St Suite 1528, Philadelphia, PA 19103, USA",https://shanesylaw.com/,4.8,6,ChIJJc82nf3HxokR-x3lGiA8kbM,TextSearch(New)+Details(New)
Affordable Legal Center,(215) 333-5297,"2448 Cottman Ave, Philadelphia, PA 19149, USA",http://affordablelegaloffice.com/,4.5,317,ChIJExoKeh-0xokR1erkZo7X2T4,TextSearch(New)+Details(New)
"The Johnson Firm, LLC",(215) 475-6198,"1835 Market St Suite 2626, Philadelphia, PA 19103, USA",https://www.johnsonfirmllc.com/,4.5,92,ChIJs3npCKnHxokRW_tNc9Jp1wg,TextSearch(New)+Details(New)
Reinherz Law Offices,(215) 922-2055,"1500 Walnut St # 800, Philadelphia, PA 19102, USA",http://reinherzlaw.com/,5,46,ChIJR1f3fi_GxokRkzxTnz3eFuQ,TextSearch(New)+Details(New)
"Law Offices of Linda A. Kerns, LLC",(215) 731-1400,"1420 Locust St #200, Philadelphia, PA 19102, USA",http://www.lindakernslaw.com/,4.3,58,ChIJQyrhSSXGxokR__fDtCVMifk,TextSearch(New)+Details(New)
Law Offices of Lauren H. Kane - Philadelphia Family Law,(215) 918-9453,"3900 W Ford Rd Apt 7l, Philadelphia, PA 19131, USA",https://www.phillyfamilylawyer.com/,4.4,16,ChIJZz_pk3vHxokRuheYdHQ7w5w,TextSearch(New)+Details(New)
"Law Office of Douglas Earl, LLC",(215) 627-5970,"1015 Chestnut St APT 902, Philadelphia, PA 19107, USA",https://douglaspearl.com/,4.4,94,ChIJ36Kr-SjGxokRvrhAT4twYXA,TextSearch(New)+Details(New)
D’Adamo Law,(215) 825-5519,"1700 Market St, Philadelphia, PA 19103, USA",,4.5,35,ChIJeWN5bAXGxokRb51vfaon_cI,TextSearch(New)+Details(New)
Giampolo Law Group,(215) 645-2415,"507 S 2nd St, Philadelphia, PA 19147, USA",https://giampololaw.com/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business,4.9,69,ChIJh0fICzDGxokReKGr03b923I,TextSearch(New)+Details(New)
Cordell & Cordell - Divorce Attorney Office,(215) 490-9999,"1601 Market St #2230, Philadelphia, PA 19103, USA",https://cordellcordell.com/offices/pennsylvania/philadelphia/,4.6,31,ChIJX0H_xzHGxokR2-x10f2oNKo,TextSearch(New)+Details(New)
