name,phone,address,website,rating,reviews,place_id,source
Law Offices of Dizengoff and Yost,(267) 223-5862,"1117 E Passyunk Ave, Philadelphia, PA 19147, USA",https://www.hunteryostlaw.com/,4.8,578,ChIJVVWlN07LxokRJCnztLJCGrY,TextSearch(New)+Details(New)
Getson & Schatz PC,(215) 520-4000,"230 S Broad St # 1001, Philadelphia, PA 19102, USA",http://www.click4immigration.com/,5,267,ChIJ67xbQSXGxokRMGNaERLrJFg,TextSearch(New)+Details(New)
"Palladino, Isbell & Casazza, LLC",(215) 576-9000,"2316 S Broad St, Philadelphia, PA 19145, USA",http://www.piclaw.com/,4.9,253,ChIJde39RHXJxokRPdDg6LVQGSU,TextSearch(New)+Details(New)
Hykel Law,(215) 246-9400,"1500 John F Kennedy Blvd #1040, Philadelphia, PA 19102, USA",https://www.hykellaw.com/,4.9,148,ChIJN05AHy7GxokRxVsZ4urqcHk,TextSearch(New)+Details(New)
Henry & Grogan,(215) 278-8591,"100 S Broad St Suite 1605, Philadelphia, PA 19110, USA",https://henrygrogan.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=1SEO_GMB,4.9,147,ChIJf8gT6gnGxokRIHU_MWCG86k,TextSearch(New)+Details(New)
"JL Law, LLC.",(215) 647-2004,"1152 S 9th St First Floor, Philadelphia, PA 19147, USA",http://www.jllaw.org/,5,90,ChIJWxIDpp3HxokRfAkKDo35NtM,TextSearch(New)+Details(New)
Green and Spiegel LLC,(215) 395-8959,"1524 Delancey St, Philadelphia, PA 19102, USA",http://www.gands-us.com/,4.9,136,ChIJ_5koFjvGxokRGvLQncUbXMA,TextSearch(New)+Details(New)
FIBI Law Firm,(267) 298-3500,"6546 Woodland Ave, Philadelphia, PA 19142, USA",https://fibilaw.com/,4.8,104,ChIJ2QbACZPFxokRPWwE_15qg5g,TextSearch(New)+Details(New)
Immigration Lawyer Philadelphia Cruz Gold & Associates,(215) 608-2131,"123 S Broad St Suite 1529, Philadelphia, PA 19109, USA",https://cruzgoldlaw.com/immigration-lawyer-philadelphia/,5,6,ChIJ7ay5ikfHxokRzLWUfp_hc6A,TextSearch(New)+Details(New)
"Solow, Hartnett & Galvan, LLC",(215) 330-5244,"1601 Walnut St Suite 1200, Philadelphia, PA 19102, USA",https://shglawpa.com/,4.9,134,ChIJ9216-3vHxokRcpHMNVEdJEo,TextSearch(New)+Details(New)
"Law Office of Nadine C. Atkinson-Flowers, Esq LLC",(484) 995-7260,"1500 Walnut St # 800, Philadelphia, PA 19102, USA",http://www.atkinsonflowerslaw.com/,4.9,54,ChIJ_znDwnXHxokRZcvCVzCNFog,TextSearch(New)+Details(New)
Law Office of Samira Sulemana,(215) 320-7455,"5925 N 5th St 2nd Floor, Philadelphia, PA 19120, USA",http://www.samirasulemanalaw.com/,4.9,91,ChIJdfu97iXGxokR42sCsKLd7LQ,TextSearch(New)+Details(New)
"MC Law Group | Immigration, Divorce & DUIs",(215) 960-9763,"1814 Callowhill St First Floor, Philadelphia, PA 19130, USA",https://mc-lawgroup.com/?utm_campaign=gmb,4,189,ChIJm5mJKc3HxokRZb11uZ2LO4c,TextSearch(New)+Details(New)
John Hykel Law Offices,(215) 405-0555,"1500 John F Kennedy Blvd Suite 1315, Philadelphia, PA 19102, USA",https://www.johnhykel.com/,4.8,145,ChIJATCdEC7GxokRp2-D5ZhspTs,TextSearch(New)+Details(New)
"Best Law Associates, LLC",(215) 995-2900,"915 Spring Garden St Suite 206, Philadelphia, PA 19123, USA",http://www.bestlawassociates.com/,5,57,ChIJmxtdmy_GxokRgLoNr0BIlkY,TextSearch(New)+Details(New)
Gian-Grasso & Tomczak,(215) 437-0392,"990 Spring Garden St #304, Philadelphia, PA 19123, USA",http://www.gtilg.com/,4.8,43,ChIJN2RSfoTIxokRUOnZEOLsFC4,TextSearch(New)+Details(New)
Goldstein & Associates,(215) 982-2381,"340 S 16th St, Philadelphia, PA 19102, USA",http://www.mglaw.com/,4.8,91,ChIJL3d0DjvGxokRYpJxuPO6RLk,TextSearch(New)+Details(New)
