name,phone,address,website,rating,reviews,place_id,source
"Philadelphia Personal Injury Attorney at Law, Brandon J. Broderick",(866) 535-0432,"110 S 20th St, Philadelphia, PA 19103, USA",https://www.brandonjbroderick.com/pennsylvania/personal-injury-lawyer-philadelphia?utm_campaign=gmb,4.9,484,ChIJOdx460zHxokRb_1DcVuBMH8,TextSearch(New)+Details(New)
The Levin Firm Personal Injury and Car Accident Lawyers - Philadelphia Office,(215) 825-5183,"1500 John F Kennedy Blvd # 620, Philadelphia, PA 19102, USA",https://www.levininjuryfirm.com/,5,197,ChIJvav1hS_GxokRLswkH2W1W0g,TextSearch(New)+Details(New)
TopDog Law Personal Injury Lawyers,(215) 883-9549,"3509 Haverford Ave Suite 102, Philadelphia, PA 19104, USA",https://topdoglaw.com/personal-injury-lawyer/pennsylvania/philadelphia/?utm_source=google&utm_medium=organic&utm_campaign=GMB-Haverford-Ave-Philadelphia,4.9,573,ChIJzzwM2pXHxokRILH7XPjbTjI,TextSearch(New)+Details(New)
Soloff & Zervanos Personal Injury Attorneys,(215) 608-4067,"1525 Locust St 8th Floor, Philadelphia, PA 19102, USA",https://soloffandzervanos.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Philadelphia&utm_id=GBP_Philadelphia,4.9,224,ChIJYc2JuDrGxokRXdlmCqu3GQU,TextSearch(New)+Details(New)
Zavodnick & Lasky - Personal Injury Lawyers Philadelphia,(215) 650-8470,"123 S Broad St #1220, Philadelphia, PA 19109, USA",https://www.zavodnicklaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-philadelphia,4.9,172,ChIJu80y30fHxokRUol7D4C7QNk,TextSearch(New)+Details(New)
Gibbons Legal Car Accident & Personal Injury Lawyers Philadelphia,(215) 774-2584,"One Commerce Square, 2005 Market St # 1920, Philadelphia, PA 19103, USA",https://gibbonslegal.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing_philadelphia,5,285,ChIJATCdEC7GxokREKR-gfkjUuY,TextSearch(New)+Details(New)
"Philly Personal Injury Lawyer Jeffrey H. Penneys, PC",(215) 344-7348,"230 S Broad St #904, Philadelphia, PA 19102, USA",https://philly-personal-injury-lawyer.com/?utm_source=GMB&utm_medium=organic,5,243,ChIJH36T7THGxokRaC-EI2rPHZU,TextSearch(New)+Details(New)
Jacobs & Comerota,(267) 450-2360,"30 S 17th St Suite 810, Philadelphia, PA 19103, USA",https://www.jcinjurylaw.com/,5,423,ChIJN05AHy7GxokRzqKete57dJc,TextSearch(New)+Details(New)
Rand Spear: The Accident Lawyer,(215) 985-2424,"Ten Penn Center, 1801 Market St #700, Philadelphia, PA 19103, USA",https://www.randspear.com/,4.6,649,ChIJkQy5S6nkb0ARU24apUyBAWI,TextSearch(New)+Details(New)
Philadelphia Injury Lawyers P.C.,(215) 298-9143,"1635 Market St 1600 Suite A, Philadelphia, PA 19103, USA",https://philly-injury-law.com/,5,74,ChIJWaKa8SrHxokRfhPEKdqcQMY,TextSearch(New)+Details(New)
"Kwartler Manus, LLC",(267) 457-5570,"1429 Walnut St 14th Floor, Philadelphia, PA 19102, USA",https://www.kminjurylawyers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=philadelphia,4.8,458,ChIJc_X3qTfGxokRV0rwa5z0Fb8,TextSearch(New)+Details(New)
KaplunMarx Accident & Injury Lawyers - Philadelphia,(215) 939-4895,"115 S 8th St Suite 5, Philadelphia, PA 19106, USA",https://kaplunmarx.com/,5,321,ChIJU6hH5gHJxokRTt9l2dFOr0E,TextSearch(New)+Details(New)
Reiff Law Firm - Philadelphia Personal Injury & Car Accident Attorneys,(215) 246-9000,"1500 John F Kennedy Blvd #501, Philadelphia, PA 19102, USA",https://www.reifflawfirm.com/?utm_source=GMB&utm_medium=Organic,5,47,ChIJEfhuqyjGxokRLmC_IXxGTGg,TextSearch(New)+Details(New)
Wapner Newman Personal Injury and Medical Malpractice Lawyers,(215) 569-0900,"1628 John F Kennedy Blvd #800, Philadelphia, PA 19103, USA",https://www.wapnernewman.com/?utm_source=local&utm_medium=organic&utm_campaign=GMB,4.7,181,ChIJoWNv3jbGxokRahVWoHbcnv4,TextSearch(New)+Details(New)
"The Pearce Law Firm, Personal Injury and Car Accident Lawyers Philadelphia",(215) 544-3290,"1701 Walnut St 6th Floor, Philadelphia, PA 19103, USA",https://thepearcelawfirm.com/philadelphia-pennsylvania-car-accident-lawyer-auto-accident-attorney-near-you/?utm_source=google&utm_medium=organic&utm_campaign=gmbphilly,4.8,108,ChIJB_6YZALHxokRXRlM6Y-r9iY,TextSearch(New)+Details(New)
MyPhillyLawyer,(215) 227-2727,"1500 John F Kennedy Blvd #1410, Philadelphia, PA 19102, USA",https://www.myphillylawyer.com/,4.7,296,ChIJATCdEC7GxokRmNSZOIvZb_Q,TextSearch(New)+Details(New)
Morgan & Morgan,(215) 446-0003,"2005 Market St Ste. 350, Philadelphia, PA 19103, USA",https://www.forthepeople.com/office-locations/pennsylvania/philadelphia/?utm_source=GMB&utm_medium=local&utm_campaign=PhiladelphiaPAGMB,4.6,5295,ChIJXdmUuDPGxokRr4N_QjjSppI,TextSearch(New)+Details(New)
Law Offices of Judy Greenwood PC - Medical Malpractice and Personal Injury Lawyers,(215) 557-7500,"1800 John F Kennedy Blvd #1500A, Philadelphia, PA 19103, USA",https://greenwoodlawoffice.com/,4.8,79,ChIJz_nLbTHGxokR4gK3ioXDlRY,TextSearch(New)+Details(New)
Cousin Benny Injury Lawyers | Philadelphia Car Accident Lawyers,(215) 608-2573,"1617 John F Kennedy Blvd Suite 355D, Philadelphia, PA 19103, USA",https://cousinbenny.com/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,4.8,132,ChIJDS8l4BnHxokR6mSFl-4YakA,TextSearch(New)+Details(New)
"Nerenberg Law Associates, P.C.",(215) 569-9100,"30 S 17th St Suite 810, Philadelphia, PA 19103, USA",https://www.phillypilaw.com/,4.9,220,ChIJATCdEC7GxokRB58_UVwf28k,TextSearch(New)+Details(New)
VSCP LAW | Personal Injury Lawyers in Philadelphia,(215) 960-0000,"2001 Market St 41st Floor, Philadelphia, PA 19103, USA",https://vscplaw.com/,5,50,ChIJA8leR-bHxokRMn6-q9CZewU,TextSearch(New)+Details(New)
"Mattiacci Law, LLC",(267) 682-7157,"1500 John F Kennedy Blvd # 620, Philadelphia, PA 19102, USA",https://jminjurylawyer.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,5,47,ChIJt6cdGS7GxokRbdOd2r0AWmc,TextSearch(New)+Details(New)
PhillyLaw Car Accident & Injury Lawyers,(215) 515-2050,"2021 Locust St, Philadelphia, PA 19103, USA",https://phillylaw.com/philadelphia-personal-injury-lawyers/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,33,ChIJa_XdyjnGxokRR4qYn_DOnhY,TextSearch(New)+Details(New)
"Stern & Cohen, P.C.",(215) 999-1443,"2001 Market St # 2600, Philadelphia, PA 19103, USA",https://sterncohenlaw.com/,4.8,294,ChIJbwDoUDDGxokRqRIvcmjX3tw,TextSearch(New)+Details(New)
Wieand Law Firm LLC,(215) 666-7777,"1800 John F Kennedy Blvd #1400, Philadelphia, PA 19103, USA",https://www.wieandlaw.com/,4.9,58,ChIJ0cebETTHxokR8l0hrvs4qnE,TextSearch(New)+Details(New)
"Law Office of W. Keith Williams II, P.C.",(610) 626-3855,"710 1/2 Church Ln, Yeadon, PA 19050, USA",https://www.injuredcallkeith.com/,5,25,ChIJwY3a9VTBxokRTD15lTJFVFY,TextSearch(New)+Details(New)
Rosenbaum Injury Law,(215) 569-0200,"1818 Market St # 3200, Philadelphia, PA 19103, USA",https://www.rosenbauminjuryfirm.com/?utm_source=gbplisting&utm_medium=organic,4.9,263,ChIJn3a9JDHGxokRjNWEFY8-Yl8,TextSearch(New)+Details(New)
