name,phone,address,website,rating,reviews,place_id,source
RS Law Group,(215) 717-2200,"226 Walnut St, Philadelphia, PA 19106, USA",https://rslawgroup.com/,4.8,81,ChIJA-RVtsiyxokRKqlV4NTc4N0,TextSearch(New)+Details(New)
Gail Marcus Law,(215) 751-0505,"1500 John F Kennedy Blvd Suite 910 B, Philadelphia, PA 19102, USA",https://www.gmarcuslaw.com/,4.9,47,ChIJATCdEC7GxokRxEriT_cxMMA,TextSearch(New)+Details(New)
LEGAL REAL ESTATE,(215) 965-9700,"9200 Academy Rd, Philadelphia, PA 19114, USA",http://legalrealestate.us/,4.9,121,ChIJ77QY8IG0xokRNe6sZh2OP34,TextSearch(New)+Details(New)
"JM LAW GROUP, LLC",(215) 832-3600,"1515 Market St #1200, Philadelphia, PA 19102, USA",http://www.lawmr.com/,4.9,30,ChIJY6_tJDHGxokRlcV03VIjFqY,TextSearch(New)+Details(New)
"Freundlich & Littman, LLC",(215) 201-4099,"1425 Walnut St #200, Philadelphia, PA 19102, USA",http://www.philadelphiaattorneylawyer.com/,4.9,122,ChIJOxKK_y_GxokRvhZBc_n2sAo,TextSearch(New)+Details(New)
Nochumson P.C.,(215) 399-1346,"1 S Broad St Suite 1000, Philadelphia, PA 19107, USA",http://www.nochumson.com/,4.7,74,ChIJy4ewgjrGxokReW9r7JmE6-k,TextSearch(New)+Details(New)
D'Intino Law Firm LLC,(267) 491-9111,"200 S Broad St Suite 610, Philadelphia, PA 19102, USA",https://dintinolaw.com/,4.9,91,ChIJQ2NsjkPHxokRKL79ObmIb0s,TextSearch(New)+Details(New)
Klenk Law,(215) 790-1095,"2202 Delancey Pl, Philadelphia, PA 19103, USA",http://klenklaw.com/,4.9,317,ChIJmSGugDDGxokRnG9qqUetbRg,TextSearch(New)+Details(New)
The Copoulos Firm,(267) 535-9776,"1628 John F Kennedy Blvd #1301, Philadelphia, PA 19103, USA",https://www.philacriminaldefenseattorney.com/,4.6,138,ChIJDZykmS_GxokRc-kXzjWtud4,TextSearch(New)+Details(New)
Pritzker Law Group,(215) 543-3688,"1521 Locust St #605, Philadelphia, PA 19102, USA",https://www.pritzkerlg.com/,4.5,36,ChIJ7ZWgpZ_HxokR2c7dgNlo-hc,TextSearch(New)+Details(New)
"The Loza Law Firm, LLC",(215) 965-9700,"9200 Academy Rd, Philadelphia, PA 19114, USA",http://www.lozalawfirm.com/,4.9,96,ChIJB0HNMYO0xokRJice5tUskO0,TextSearch(New)+Details(New)
"Joseph P. Capone, Attorney at Law",(215) 557-0070,"2332 S Broad St, Philadelphia, PA 19145, USA",https://www.caponelawyers.com/,5,108,ChIJ82UXcZ7HxokRQkDadvgI15Y,TextSearch(New)+Details(New)
Giampolo Law Group,(215) 645-2415,"507 S 2nd St, Philadelphia, PA 19147, USA",https://giampololaw.com/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business,4.9,69,ChIJh0fICzDGxokReKGr03b923I,TextSearch(New)+Details(New)
"Steven J. Fromm & Associates, P.C.",(215) 735-2336,"1420 Walnut St # 300, Philadelphia, PA 19102, USA",http://www.sjfpc.com/,5,80,ChIJ2eRWVyXGxokRQAxp1NUZ8WA,TextSearch(New)+Details(New)
"Baritz KBK Law Group, LLC",(866) 415-6588,"100 S Broad St #1208, Philadelphia, PA 19110, USA",https://www.baritzlaw.com/?npcmp=dir:local:3637400:19110,4,72,ChIJlz8s1CjGxokRvWq-me7andE,TextSearch(New)+Details(New)
Legalty Title Insurance & Real Estate Services,(888) 534-2589,"90 Cricket Ave, Ardmore, PA 19003, USA",http://legaltyservices.com/,5,105,ChIJTxMvZIjAxokRIBt-wWHHJ4Q,TextSearch(New)+Details(New)
Daiello Law,(215) 918-4242,"230 S Broad St 17th floor, Philadelphia, PA 19102, USA",https://pennsylvaniaprobatelawfirm.com/,4.9,61,ChIJk42euhDGxokRcoyrX0c0T_M,TextSearch(New)+Details(New)
Badet Law PLLC,(267) 277-2641,"1515 Market St #1200, Philadelphia, PA 19102, USA",https://divorcelawyerbadet.com/,4.9,253,ChIJ3braR5zHxokRxdRtbSwEBaQ,TextSearch(New)+Details(New)
Heiligman & Mogul,(215) 561-0111,"135 S 19th St #200, Philadelphia, PA 19103, USA",https://heiligmanandmogul.com/,4.9,37,ChIJeQAAADfGxokRN4jI5FIZg1E,TextSearch(New)+Details(New)
"The Law Office of Steven M. Zelinger, LLC",(267) 209-6103,"1650 Market St Ste 3623, Philadelphia, PA 19103, USA",https://www.stevenzelinger.com/?utm_source=google-local&utm_medium=organic&utm_campaign=1927,4.8,43,ChIJnSriDNTHxokRLhp3oEaKdww,TextSearch(New)+Details(New)
"Sidkoff, Pincus & Green P.C.",(215) 574-0600,"1101 Market St #2700, Philadelphia, PA 19107, USA",http://www.greatlawyers.com/,4.8,126,ChIJDSjGFinGxokRru3KY463klo,TextSearch(New)+Details(New)
The Town Law LLC,(215) 307-5504,"1650 Market St Ste 3669, Philadelphia, PA 19103, USA",https://www.thetownlaw.com/?utm_source=google-local&utm_medium=organic&utm_campaign=2953,5,396,ChIJ1SW9TaDHxokRmvADMaJ5OSo,TextSearch(New)+Details(New)
Stoner Law Offices LLC,(267) 314-7506,"1700 Market St #1005, Philadelphia, PA 19103, USA",https://stoner-law.com/pennsylvania/philadelphia/real-estate-lawyer/,4.5,8,ChIJ_QoyklbHxokR6w2ov9iQzh4,TextSearch(New)+Details(New)
Law Offices of Sheikh Irfan Afzal,(484) 273-0699,"319 S 69th St 2nd floor, Suite 4, Upper Darby Township, PA 19082, USA",http://www.sirfanlawoffice.com/,4.9,198,ChIJD9gYKmDBxokR-9EYIf4YVeA,TextSearch(New)+Details(New)
The Law Offices of Christopher W. Dean,(215) 867-4197,"1617 John F Kennedy Blvd Suite 1888, Philadelphia, PA 19103, USA",https://cwdeanlaw.com/,5,12,ChIJTVxWglTHxokRCUU6WYIEYCk,TextSearch(New)+Details(New)
Pinnola & Bomstein,(215) 592-8383,"100 S Broad St #705, Philadelphia, PA 19110, USA",http://www.pinnolabomstein.com/,5,4,ChIJ743Jli_GxokRAwv3GtpUaww,TextSearch(New)+Details(New)
"Richard L. Vanderslice, P.C.",(215) 667-8070,"1445 Snyder Ave, Philadelphia, PA 19145, USA",https://www.vanderslicelaw.com/?utm_source=google-local&utm_medium=organic&utm_campaign=1192,4.2,15,ChIJrSIQTgnGxokReLDK2kU7FPk,TextSearch(New)+Details(New)
